Brand,Price,Gender,향수이름(KOR),Name,Rate,Main Components,Winter,Spring,Summer,Fall,season,Day,Night,설명글,Top Notes,Middle Notes,Base Notes,Longetivity,Image,Skin type,Style,MBTI
Lanvin,"92,000",여성,모네끌라 에끌라 드 아르페쥬,Éclat d'Arpège Mon Éclat Lanvin for women,3.57,"powdery: 100%;, white floral: 88.2383%;, fruity: 84.8121%;, musky: 83.6702%;, woody: 81.0441%;, green: 74.5351%;, citrus: 68.7683%;, lactonic: 57.4063%;, aquatic: 56.207%;, floral: 53.8089%;",20,100,83.6364,38.1818,spring,100,20,랑방(Lanvin)의 모네끌라 에끌라 드 아르페쥬(Éclat d'Arpège Mon Éclat)는 여성을 위한 플로럴 프루티 향수입니다. 모네끌라 에끌라 드 아르페쥬(Éclat d'Arpège Mon Éclat)는 2022년에 출시되었습니다. 조향사는 머컨지 라일리(Mackenzie Reilly)와 니콜라스 보올류(Nicolas Beaulieu)입니다.,"Aloe Vera, Bergamot","Apricot, Jasmine, Rose","Musk, Sandalwood",moderate,https://fimgs.net/mdimg/perfume/375x500.74805.jpg,건성,"클래식, 로맨틱, 럭셔리","ENFJ, ESFP, ESTJ, INFP, INFJ, INTP, INTJ, ISFP, ISFJ"
Lanvin,"60,000",여성,워터 릴리,Water Lily Lanvin for women,3.46,"floral: 100%;, citrus: 82.7108%;, aquatic: 77.4396%;, fresh: 68.9533%;, woody: 64.1568%;, white floral: 63.7351%;, musky: 60.5725%;, fresh spicy: 59.7288%;, powdery: 48.4489%;, fruity: 47.3944%;",14.1304,95.6522,100,18.4783,summer,100,6.52174,랑방(Lanvin)의 워터 릴리(Water Lily)는 여성을 위한 플로럴 아쿠아틱 향수입니다. 워터 릴리(Water Lily)는 2021년에 출시되었습니다. 조향사는 피에르 콘스탄틴 게로스(Pierre-Constantin Guéros)입니다.,"Pink Grapefruit, Pomegranate","Water Lily, Water Jasmine","Musk, Sandalwood",moderate,https://fimgs.net/mdimg/perfume/375x500.69740.jpg,건성,"클래식, 로맨틱, 럭셔리","ENFJ, ESFP, ESTJ, INFP, INFJ, INTP, INTJ, ISFP, ISFJ"
Lanvin,"60,000",여성,스위트 자스민,Sweet Jasmine Lanvin for women,3.75,"white floral: 100%;, citrus: 63.5472%;, floral: 60.5093%;, green: 54.0377%;, musky: 47.1698%;, fresh: 44.3963%;",13.3333,93.3333,96.6667,30,summer,100,13.3333,랑방(Lanvin)의 스위트 쟈스민(Sweet Jasmine)은 여성을 위한 플로럴 그린 향수입니다. 스위트 쟈스민(Sweet Jasmine)은 2023년에 출시되었습니다. 조향사는 니콜라스 보올류(Nicolas Beaulieu)입니다.,"Bergamot, Green Tea, Water Fruits","Jasmine, Magnolia, Orange Blossom","Amber, Musk, Cedarwood",moderate,https://fimgs.net/mdimg/perfume/375x500.83028.jpg,"건성, 복합성","클래식, 로맨틱, 럭셔리, 레트로/빈티지","ENFJ, ENTP, ENTJ, ESFJ, ESFP, ESTJ, ISFP, INFP, INTP, ISFJ, INFJ, INTJ"
Lanvin,"60,000",여성,블루 오 키드,Blue Orchid Lanvin for women,3.83,"powdery: 100%;, iris: 89.795%;, musky: 81.0249%;, citrus: 76.2414%;, fruity: 66.9931%;, fresh: 62.3689%;, violet: 59.8975%;, sweet: 57.4261%;, floral: 56.0707%;, earthy: 53.918%;",28.0576,100,84.1727,46.0432,spring,92.0863,20.8633,랑방(Lanvin)의 블루 오키드(Blue Orchid)는 플로럴 우디 머스크의 여성용 향수입니다. 블루 오키드(Blue Orchid)는 2021년에 출시되었습니다. 조향사는 알렉산드라 칼린(Alexandra Carlin)입니다.,"Lemon, Apple","Iris, Orchid","Musk, Tonka Bean",moderate,https://fimgs.net/mdimg/perfume/375x500.69741.jpg,민감성,"클래식, 로맨틱, 럭셔리","ENFJ, ESFP, ESTJ, INFP, INTP, ISFJ, ISTP"
Lanvin,"60,000",여성,써니 매그놀리아,Sunny Magnolia Lanvin for women,3.57,"fruity: 100%;, floral: 79.3343%;, white floral: 66.9347%;, citrus: 64.2964%;, powdery: 63.7687%;, musky: 59.0201%;, lactonic: 56.9094%;, vanilla: 51.1055%;, sweet: 49.171%;, soft spicy: 46.0929%;",14.9425,100,94.2529,25.2874,spring,100,9.1954,랑방(Lanvin)의 써니 매그놀리아(Sunny Magnolia)는 여성을 위한 플로럴 프루티 향수입니다. 써니 매그놀리아(Sunny Magnolia)는 2021년에 출시되었습니다. 조향사는 피에르 콘스탄틴 게로스(Pierre-Constantin Guéros)입니다.,"Apricot, Mandarin","Osmanthus, Jasmine","White Musk, Vanilla",moderate,https://fimgs.net/mdimg/perfume/375x500.69742.jpg,민감성,로맨틱,"ENFJ, ESFP, ESTJ, ESFJ, INFP, INTP, ISFJ"
Lanvin,"97,000",여성,랑방 잔느,Jeanne Lanvin Lanvin for women,3.76,"fruity: 100%;, sweet: 70.8004%;, rose: 58.7636%;, floral: 58.2685%;, fresh: 49.6227%;",15.1515,88.7106,69.5187,19.489,spring,100,12.0618,랑방(Lanvin)의 랑방 잔느(Jeanne Lanvin)은 여성을 위한 플로럴 프루티 향수입니다. 랑방 잔느(Jeanne Lanvin)는 2008년에 출시되었습니다. 조향사는 앤 플리포(Anne Flipo)입니다.,"Blackberry, Pear","Raspberry, Peony, Freesia","Musk, Sandalwood, Amber",moderate,https://fimgs.net/mdimg/perfume/375x500.3779.jpg,건성,"클래식, 로맨틱, 럭셔리, 레트로/빈티지","ENFJ, ENTJ, ESFP, ESTJ, INFP, INFJ, INTP, INTJ, ISFP, ISFJ"
Lanvin,"92,000",여성,에끌라 드 아르페쥬,Eclat d’Arpège Lanvin for women,3.86,"floral: 100%;, fresh: 70.1599%;, green: 52.258%;",16.726,96.6424,71.4993,23.7506,spring,100,14.6836,랑방(Lanvin)의 에끌라 드 아르페쥬(Eclat d'Arpège)는 여성을 위한 플로럴 프루티 향수입니다. 에끌라 드 아르페쥬(Eclat d'Arpège)는 2002년에 출시되었습니다. 조향사는 카린 뒤브뢰이-세레니(Karine Dubreuil-Sereni)입니다.,"Lilac, Lemon ","Peach Leaf, Green Tea","Cedarwood, White Musk",moderate,https://fimgs.net/mdimg/perfume/375x500.988.jpg,"복합성, 민감성","모던/미니멀, 보헤미안, 럭셔리","ENFJ, ESFP, ESTJ, INFP, INFJ, INTP, INTJ, ISFP, ISFJ"
Lanvin,"95,000",여성,모던 프린세스,Modern Princess Lanvin for women,3.95,"fruity: 100%;, sweet: 67.9027%;, floral: 64.7871%;, fresh: 61.249%;, soft spicy: 55.0476%;, sour: 45.937%;, musky: 44.8014%;",19.3508,96.005,86.5169,31.8352,spring,100,16.8539,랑방(Lanvin)의 모던 프린세스(Modern Princess)는 여성을 위한 플로럴 프루티 향수입니다. 모던 프린세스(Modern Princess)는 2016년에 출시되었습니다. 조향사는 크리스토프 레이노(Christophe Raynaud)입니다.,"Apple, Red Currant","Freesia, Jasmine","Vanilla Orchid, Musk",moderate,https://fimgs.net/mdimg/perfume/375x500.38890.jpg,건성,"클래식, 로맨틱, 럭셔리","ENFJ, ESFP, ESTJ, ESFJ, INFP, INTP, ISFJ"
Lanvin,"90,000",여성,루머2 로즈,Rumeur 2 Rose Lanvin for women,3.87,"citrus: 100%;, rose: 53.4018%;, floral: 47.6239%;, white floral: 44.0339%;",15.612,90.1971,78.112,18.7759,spring,100,9.69917,랑방(Lanvin)의 루머 2 로즈(Rumeur 2 Rose)은 여성을 위한 플로럴 프루티 향수입니다. 루머 2 로즈(Rumer 2 Rose)는 2006년에 출시되었습니다. 조향사는 오노린 블랑(Honorine Blanc)입니다.,"Lemon, Orange, Bergamot, Pear","Rose, Honeysuckle, Lily-of-the-Valley","Musk, Wood, Amber",moderate,https://fimgs.net/mdimg/perfume/375x500.2271.jpg,건성,"클래식, 럭셔리, 레트로/빈티지","ENFJ, ENTJ, ESFP, ESTJ, INFP, INFJ, INTP, INTJ, ISFP, ISFJ, "
Lanvin,"103,000",여성,메리미,Marry Me Lanvin for women,3.72,"floral: 100%;, citrus: 81.9876%;, white floral: 79.5475%;, fruity: 57.1254%;, rose: 47.8601%;, fresh: 47.4733%;, powdery: 47.3724%;, musky: 44.8558%;",17.8784,91.18,62.0381,26.5197,spring,100,17.64,랑방(Lanvin)의 메리미(Marry Me)는 여성을 위한 플로럴 프루티 향수입니다. 메리미(Marry Me)는 2010년에 출시되었습니다. 조향사는 앙투안 메종디외(Antoine Maisondieu)입니다.,"Bitter Orange, Freesia","Jasmine, Magnolia","Musk, White Cedar",moderate,https://fimgs.net/mdimg/perfume/375x500.9405.jpg,지성,"모던/미니멀, 보헤미안, 럭셔리","ENFJ, ESFP, ESTJ, INFP, INFJ, INTP, INTJ, ISFP, ISFJ"
